Sourcefile	20230508 152842 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 15:44:11

Start Time	08.05.2023 15:38:14
End Time	08.05.2023 15:42:32


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:38:14

Mass [amu]	Ion Current [A]
23,16	-2,606457e-014
23,19	-2,358441e-014
23,22	-2,245185e-014
23,25	-2,329797e-014
23,28	-2,547739e-014
23,31	-2,775938e-014
23,34	-2,981066e-014
23,38	-3,159577e-014
23,41	-3,176511e-014
23,44	-2,825742e-014
23,47	-2,073363e-014
23,50	-1,119521e-014
23,53	-1,992841e-015
23,56	5,000770e-015
23,59	7,285546e-015
23,63	3,596174e-015
23,66	-2,952020e-015
23,69	-7,239409e-015
23,72	-7,335297e-015
23,75	-5,474689e-015
23,78	-4,682621e-015
23,81	-5,928805e-015
23,84	-8,416654e-015
23,88	-1,086025e-014
23,91	-1,242356e-014
23,94	-1,359621e-014
23,97	-1,525991e-014
24,00	-1,674999e-014
24,03	-1,652554e-014
24,06	-1,441590e-014
24,09	-1,165038e-014
24,13	-9,591542e-015
24,16	-9,132580e-015
24,19	-9,852593e-015
24,22	-1,028493e-014
24,25	-9,953680e-015
24,28	-9,842445e-015
24,31	-1,078539e-014
24,34	-1,261069e-014
24,38	-1,448720e-014
24,41	-1,525178e-014
24,44	-1,396486e-014
24,47	-1,096927e-014
24,50	-8,215003e-015
24,53	-7,875679e-015
24,56	-1,033547e-014
24,59	-1,338682e-014
24,63	-1,426193e-014
24,66	-1,242985e-014
24,69	-8,918899e-015
24,72	-4,416766e-015
24,75	-2,335168e-017
24,78	1,998955e-015
24,81	2,707593e-016
24,84	-4,078597e-015
24,88	-8,796091e-015
24,91	-1,193577e-014
24,94	-1,206991e-014
24,97	-8,947252e-015
25,00	-4,232189e-015
25,03	-1,124756e-015
25,06	-2,044124e-015
25,09	-5,969109e-015
25,13	-9,664233e-015
25,16	-1,129735e-014
25,19	-1,110368e-014
25,22	-9,747540e-015
25,25	-7,760098e-015
25,28	-6,472917e-015
25,31	-7,925224e-015
25,34	-1,207443e-014
25,38	-1,510130e-014
