Sourcefile	20230508 155818 Faraday Airdemo Scan Analog.qmp
Exporttime	08.05.2023 16:03:06

Start Time	08.05.2023 15:58:27
End Time	08.05.2023 16:02:53


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	08.05.2023 15:58:27

Mass [amu]	Ion Current [A]
26,63	-9,449761e-014
26,66	-9,598226e-014
26,69	-9,579523e-014
26,72	-9,333612e-014
26,75	-9,014382e-014
26,78	-8,857577e-014
26,81	-8,949984e-014
26,84	-9,173846e-014
26,88	-9,331713e-014
26,91	-9,365723e-014
26,94	-9,457200e-014
26,97	-9,721922e-014
27,00	-9,930397e-014
27,03	-9,829153e-014
27,06	-9,484544e-014
27,09	-9,150222e-014
27,13	-9,062784e-014
27,16	-9,305589e-014
27,19	-9,690850e-014
27,22	-9,846659e-014
27,25	-9,526680e-014
27,28	-8,824738e-014
27,31	-8,087575e-014
27,34	-7,698599e-014
27,38	-7,839464e-014
27,41	-8,303213e-014
27,44	-8,557599e-014
27,47	-8,164296e-014
27,50	-7,212135e-014
27,53	-6,062328e-014
27,56	-4,710794e-014
27,59	-2,840794e-014
27,63	-3,922258e-015
27,66	2,282418e-014
27,69	4,750765e-014
27,72	6,805225e-014
27,75	8,446018e-014
27,78	9,638016e-014
27,81	1,030508e-013
27,84	1,061077e-013
27,88	1,080830e-013
27,91	1,085968e-013
27,94	1,068095e-013
27,97	1,050364e-013
28,00	1,058086e-013
28,03	1,084590e-013
28,06	1,107734e-013
28,09	1,105655e-013
28,13	1,049752e-013
28,16	9,201258e-014
28,19	7,385061e-014
28,22	5,660154e-014
28,25	4,535539e-014
28,28	3,945129e-014
28,31	3,444851e-014
28,34	2,819431e-014
28,38	2,102381e-014
28,41	1,177349e-014
28,44	-1,807165e-015
28,47	-2,027984e-014
28,50	-4,172475e-014
28,53	-6,288179e-014
28,56	-8,088400e-014
28,59	-9,335994e-014
28,63	-9,818368e-014
28,66	-9,533091e-014
28,69	-8,798589e-014
28,72	-8,061604e-014
28,75	-7,682418e-014
28,78	-7,838470e-014
28,81	-8,479347e-014
28,84	-9,409018e-014
28,88	-1,037110e-013
28,91	-1,101845e-013
28,94	-1,102903e-013
28,97	-1,039343e-013
29,00	-9,491949e-014
29,03	-8,805082e-014
29,06	-8,582955e-014
29,09	-8,744250e-014
29,13	-8,951954e-014
29,16	-8,875393e-014
29,19	-8,484919e-014
29,22	-8,046549e-014
29,25	-7,799829e-014
29,28	-7,694241e-014
29,31	-7,546130e-014
29,34	-7,378360e-014
29,38	-7,427726e-014
29,41	-7,809129e-014
29,44	-8,308724e-014
29,47	-8,583400e-014
29,50	-8,505291e-014
29,53	-8,269627e-014
29,56	-8,191793e-014
29,59	-8,391672e-014
29,63	-8,689673e-014
29,66	-8,882729e-014
29,69	-8,987670e-014
29,72	-9,080598e-014
29,75	-9,163305e-014
29,78	-9,301764e-014
29,81	-9,607687e-014
29,84	-1,000023e-013
29,88	-1,020878e-013
29,91	-1,011755e-013
29,94	-9,889478e-014
29,97	-9,693762e-014
30,00	-9,603178e-014
30,03	-9,650638e-014
30,06	-9,728880e-014
30,09	-9,663806e-014
30,13	-9,467609e-014
30,16	-9,252531e-014
30,19	-8,954280e-014
30,22	-8,503833e-014
30,25	-8,146341e-014
30,28	-8,179853e-014
30,31	-8,489402e-014
30,34	-8,654352e-014
30,38	-8,484211e-014
30,41	-8,199215e-014
30,44	-8,116551e-014
30,47	-8,362615e-014
30,50	-8,830771e-014
30,53	-9,362357e-014
30,56	-9,860233e-014
30,59	-1,015890e-013
30,63	-1,009752e-013
30,66	-9,753176e-014
30,69	-9,307321e-014
30,72	-8,827826e-014
30,75	-8,432954e-014
30,78	-8,376281e-014
30,81	-8,687036e-014
30,84	-9,035656e-014
30,88	-9,134819e-014
30,91	-9,008342e-014
30,94	-8,894721e-014
30,97	-9,020111e-014
31,00	-9,354475e-014
31,03	-9,693059e-014
31,06	-9,944110e-014
31,09	-1,007763e-013
31,13	-1,001896e-013
31,16	-9,785939e-014
31,19	-9,530082e-014
31,22	-9,403490e-014
31,25	-9,412304e-014
31,28	-9,419408e-014
31,31	-9,356443e-014
31,34	-9,304059e-014
31,38	-9,319048e-014
31,41	-9,400327e-014
31,44	-9,581002e-014
31,47	-9,836352e-014
31,50	-1,005570e-013
31,53	-1,018777e-013
31,56	-1,020955e-013
31,59	-1,008068e-013
31,63	-9,848893e-014
31,66	-9,518563e-014
31,69	-8,940885e-014
31,72	-8,125250e-014
31,75	-7,337918e-014
31,78	-6,796723e-014
31,81	-6,577555e-014
31,84	-6,659932e-014
31,88	-6,882158e-014
31,91	-7,057094e-014
31,94	-7,141856e-014
31,97	-7,160201e-014
